"selection1_name","selection1_selection2","selection1_selection3"
"Kodarikam","",""
"Manjari","",""
"Na Chellelu","",""
"Naa Illu","",""
"Oka Talli Pillalu","",""
"Pakkinti Ammayi","Chittajalu Pullayya","Relangi Venkataramaiah, Anjali Devi, A. M. Rajah"
"Paradesi","",""
"Paropakaram","",""
"Pempudu Koduku","",""
"Pichi Pullaiah","T. Prakash Rao","N. T. Rama Rao, Showkar Janaki, Krishna Kumari, Gummadi, Ramana Reddy, Chaya Devi"
"Prapancham","",""
"Prathigna","H. M. Reddy","Kanta Rao, Savithri, Rajanala"
"Prema Lekhalu","",""
"Puttillu","",""
"Rohini","",""
"Thandri","",""
"Vayyari Bhama","",""
"Aggi Ramudu","",""
"Annadaata","",""
"Antha Manavalle","",""
"Baalanandam","",""
"Bangaru Bhoomi","",""
"Bangaru Papa","B. N. Reddi","S. V. Ranga Rao"
"Chakrapani","P. S. Ramakrishna Rao","Bhanumati, Akkineni Nageshwara Rao, C. S. R. Anjaneyulu, S. V. Ranga Rao, Suryakantham"
"Chandraharam","Kamalakara Kameshwara Rao","N. T. Rama Rao, Sriranjani, S. V. Ranga Rao, Savithri, Relangi Venkata Ramaiah, Suryakantham"
"Iddaru Pellalu","",""
"Jathaka Phalam","",""
"Jyothy","",""
"Kalahasthi Mahathyam","",""
"Maa Gopi","",""
"Manohara","",""
"Menarikam","",""
"Nirupedhalu","",""
"Palle Paduchu","",""
"Pedda Manushulu","Kadri Venkata Reddy","Jandhyala Gaurinatha Sastri, Mudigonda Lingamurthy, Hemalatha, Relangi Venkata Ramaiah, Sriranjani"
"Prajarajyam","",""
"Raaji Naa Pranam","",""
"Raaju-Peda","B. A. Subba Rao","N. T. Rama Rao, Sudhakar, Lakshmirajyam, Relangi Venkata Ramaiah"
"Rajaguruvu","",""
"Rechukka","P. Pullaiah","N. T. Rama Rao, Devika"
"Sangham","","N. T. Rama Rao, S. V. Ranga Rao"
"Thodu Dongalu","",""
"Vadhante Dabbu","",""
"Vipranarayana","P. S. Ramakrishna Rao","Akkineni Nageshwara Rao, Bhanumati Ramakrishna, Relangi Venkata Ramaiah"
"Aada Bidda","",""
"Anarkali","Vedantam Raghavaiah","Anjali Devi, Akkineni Nageshwara Rao, S. V. Ranga Rao"
"Anthe Kaavali","",""
"Ardhaangi","",""
"Beedhala Aasthi","",""
"Cherapakura Chedevu","",""
"Donga Ramudu","D. Madhusudhana Rao","Akkineni Nageshwara Rao, Savithri, Jamuna, Jaggayya, Allu Ramalingaiah, Relangi Venkata Ramaiah, Suryakantham"
"Jayasimha","D. Yoganand","N. T. Rama Rao, Anjali Devi"
"Kanyadhaanam","",""
"Kanyashulkam","P. Pullaiah","Savithri, N. T. Rama Rao, C. S. R. Anjaneyulu, Govindrajulu Subba Rao, Showkar Janaki, Suryakantham, Chaya Devi"
"Missamma","L. V. Prasad","Savithri, N. T. Rama Rao"
"Pasupu-Kumkuma","",""
"Rojulu Marai","Tapi Chanakya","Akkineni Nageshwara Rao, Showkar Janaki, C. S. R. Anjaneyulu, Relangi Venkatramaiah, Ramana Reddy, Waheeda Rehman"
"Santhanam","",""
"Santosham","",""
"Srikrishna Thulabaram","",""
"Vadhina","",""
"Vadhinagari Gajulu","Rajanikanth","Anjali Devi, Chalam, Amarnath"
"Vijayagouri","",""
"Balasanyasamma Katha","",""
"Bhakta Markandeya","",""
"Bhale Ramudu","Vedantam Raghavaiah","Akkineni Nageshwara Rao, Savithri, C. S. R. Anjaneyulu"
"Charana Daasi","","N. T. Rama Rao, Jamuna, Gummadi, C. S. R. Anjaneyulu, Suryakantham, Chaya Devi"
"Chintamani","P. S. Ramakrishna Rao","Bhanumati, N. T. Rama Rao, Relangi Venkata Ramaiah"
"Chiranjeevulu","",""
"Edi Nijam","Sundaram Balachander",""
"Harishchandra","",""
"Ilavelpu","D. Yoganand","Akkineni Nageswara Rao, Anjali Devi"
"Jayam Manadhe","",""
"Kanaka Tara","",""
"Melukolupu","",""
"Muddu Bidda","",""
"Naga Panchami","",""
"Nagula Chavithi","",""
"Penki Pellam","",""
"Sadarama","",""
"Sontha Ooru","",""
"Sri Gowri Mahathyam","",""
"Tenali Ramakrishna","B. S. Ranga","Akkineni Nageshwara Rao, N. T. Rama Rao, Chittor V. Nagaiah, Jamuna, Bhanumati"
"Uma Sundari","",""
"Aalu Mogalu","",""
"Akka Chellelu","Directed by late Padmanabha rao (Nellore)who also directed ""BavaMaradallu"" in 1961 | |Music Director Pendyala and Heroine Malini(alias Kusuma) also worked as Music director and Heroine respectively in Bava MaraDallu|",""
"Allauddin Adbutha Deepam","T. R. Raghunath","Akkineni Nageshwara Rao, S. V. Ranga Rao, Anjali Devi"
"Bhagya Rekha","",""
"Bhale Ammayilu","",""
"Bhale Baava","",""
"Dampathyam","",""
"Dogallo Dora","",""
"Kutumba Gowravam","",""
"M. L. A.","K. B. Tilak","Jaggayya, Savithri, Gummadi"
"Mayabazar","K. V. Reddy","N. T. Rama Rao, S. V. Ranga Rao, Savithri, Akkineni Nageshwara Rao, Rushyendramani, C. S. R. Anjaneyulu, Relangi Venkata Ramaiah, Gummadi"
"Naladamayanthi","",""
"Panduranga Mahathyam","Kamalakara Kameshwara Rao","N. T. Rama Rao, Anjali Devi, Chittor V. Nagaiah, Rushyendramani, B. Padmanabham, B. Saroja Devi"
"Peddarikalu","",""
"Preme Daivam","",""
"Repu Nidhe","",""
"Sankalpam","",""
"Sarangadhara","",""
"Sati Anasuya","",""
